participant,prolific1:1,choose_a_number:1,they:1,they:2,they:3,han:1,han:2,han:3,mc_01:1,mc_02:1,mc_03:1,mc_04:1,mc_05:1,mc_06:1,mc_07:1,mc_15:1,mc_16:1,mc_17:1,mc_18:1,mc_19:1,mc_20:1,mc_21:1,mc_101:1,mc_102:1,mc_103:1,mc_104:1,mc_105:1,mc_106:1,mc_107:1,mc_108:1,mc_109:1,mc_110:1,mc_111:1,mc_112:1,mc_113:1,mc_114:1,mc_22:1,mc_23:1,mc_24:1,mc_25:1,mc_26:1,mc_27:1,mc_28:1,mc_29:1,mc_30:1,mc_31:1,mc_32:1,mc_33:1,mc_34:1,mc_35:1,mc_136:1,mc_137:1,mc_138:1,mc_139:1,mc_140:1,mc_141:1,mc_142:1,mc_64:1,mc_65:1,mc_66:1,mc_67:1,mc_68:1,mc_69:1,mc_70:1,mc_150:1,mc_151:1,mc_152:1,mc_153:1,mc_154:1,mc_155:1,mc_156:1,mc_57:1,mc_58:1,mc_59:1,mc_60:1,mc_61:1,mc_62:1,mc_63:1,Age:1,Gender:1,Gender_binary_beliefs:1,Gender_binary_beliefs:2,Gender_binary_beliefs:3,Gender_binary_beliefs:4,TIME_start,TIME_end,TIME_total
s.cd802926-29cd-4317-9d60-c4cfc3926eea.txt,6149c45d3b339b0df37ffefc,2,They are being dragged by their dog ,They aren't very happy about it,They can't control their dog ,"","","",1,1,4,4,2,2,2,1,4,2,2,2,2,2,1,1,1,4,2,2,2,1,1,1,4,2,4,2,1,1,1,1,2,2,2,1,1,1,4,4,2,2,1,1,1,2,2,2,2,1,1,1,4,4,2,2,1,1,2,2,2,2,2,1,1,1,1,4,4,2,38,Female ,2,1,1,2,2022-07-06-11-56,2022-07-06-12-01,5,
s.4a27a42c-ac84-428c-b6e0-48fd0cf96f7d.txt,6123460a5146e28b7b216bb6,2,In this image there is a person being pulled by a dog.,They are confused about why the dog is pulling so hard.,They don't seem to enjoy the walk.,"","","",1,1,1,3,2,2,2,1,1,3,3,2,2,2,1,1,1,2,2,2,2,3,1,1,3,2,2,2,1,3,3,3,2,2,2,1,1,3,3,2,2,2,1,1,1,2,3,2,2,3,1,2,2,2,2,2,3,3,3,2,2,2,2,1,1,1,3,2,2,2,30,Woman ,5,3,5,5,2022-07-06-12-04,2022-07-06-12-15,11,
s.6712b2b6-ced2-457b-b4a6-34dc2cdf7d39.txt,60fd48bc62789e40103f3636,2,The person is walking their dog.,Their dog is pulling and it looks like they are struggling to keep a good pace.,They are thinking.,"","","",1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,1,4,2,2,1,1,1,1,4,2,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,1,1,2,2,2,22,woman,1,1,1,1,2022-07-06-11-58,2022-07-06-12-05,7,
s.3ec03d1c-6d95-4ebb-9800-b0f0a02873c2.txt,6079a513a96682665612c7b4,1,"","","",He is walking his dog,He is trying to stop the dog,The dog is resisting,4,1,1,4,4,2,2,1,4,3,4,2,2,2,1,4,4,4,4,2,2,1,1,4,4,4,2,2,1,4,1,4,4,4,2,4,1,4,4,4,2,2,4,1,1,4,2,2,2,4,4,4,4,4,2,2,4,4,4,2,2,2,2,1,1,1,4,2,2,2,30,female,5,5,5,5,2022-07-08-14-14,2022-07-08-14-22,8,
s.f7778e75-594a-45d4-9278-793682b29dbc.txt,5c6e591fc114eb00018b2633,1,"","","",she taking her pet dog for a walk ,she seems to be running the dog is pulling her ,she is shouting for help from someone,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,3,2,2,1,1,1,1,2,2,2,1,1,1,1,3,2,2,1,1,1,1,3,2,2,1,1,1,1,3,2,2,1,1,1,1,1,2,2,79,female,5,5,5,5,2022-07-08-14-04,2022-07-08-14-14,10,
s.c4c20d9f-7e80-45e2-bb8a-10dd0c2b9d04.txt,60dc691a18f5a54079a7967c,1,"","","",Hes is shouting at his dog ,He doesnt understand why his dog want to go opposite direction ,He's trying to pull his dog to the different direction ,1,1,1,1,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,39,Women ,5,5,5,5,2022-07-06-12-00,2022-07-06-12-08,8,
s.f6214f27-ba14-45f7-85ed-2678d8b771cb.txt,555b4c66fdf99b19786e3fa8,2,The dog is pulling on the lead. ,This make the person feel angry. ,They shout at the dog,"","","",1,1,1,2,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,2,28,Male,5,3,5,5,2022-07-08-14-15,2022-07-08-14-21,6,
s.50b1b961-77e5-4a20-a672-89d72de76f76.txt,5bf323f866dc510001b309fa,1,"","","",A man is walking his dog,The dog is pulling against the lead in the opposite direction to which the man wants to go,He is becoming visibly distressed as the dog is not listening,1,1,1,3,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,3,3,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,4,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,26,Non Binary,3,1,1,1,2022-07-06-12-01,2022-07-06-12-07,6,
s.b45e6a56-76a3-4e42-9cb3-10566170b65f.txt,5f3031df1cdf49462ce74533,2,Their dog is pulling on the lead.,They are nearly being dragged by their dog,The person is swearing as they are being pulled by their dog,"","","",1,1,1,1,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,2,2,61,female,2,1,1,2,2022-07-08-14-11,2022-07-08-14-23,12,
s.203a974e-b2c0-4880-9f92-0cb507e0907c.txt,5c9b534b519f7500182be9b7,2,The person is walking a dog on a lead.,They seem to be confused by something and is pulling back on the lead.,The dog does not seem to be aware and is carrying on walking.,"","","",1,1,1,1,4,2,2,1,4,4,2,2,2,2,1,4,4,4,2,2,2,1,1,1,1,4,2,2,3,3,3,3,2,2,2,1,1,1,4,2,2,2,1,1,1,2,2,2,2,1,1,1,4,2,2,2,4,4,2,2,2,2,2,1,1,1,4,2,2,2,46,Female,1,1,1,1,2022-07-08-14-06,2022-07-08-14-16,10,
s.782cadce-01b1-4adf-983c-dd1366c06c89.txt,5e20e7b3ed7a203f748184f6,2,The person is walking a dog ,The dog is pulling the person by walking faster than the person ,The person is concerned and is trying to slow the dog down,"","","",1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,32,Female,1,1,1,1,2022-07-08-14-14,2022-07-08-14-29,15,
s.58fa0942-5b6f-4862-bff6-67f82c702f47.txt,56d07dbe197fb10006233c1e,2,The person is taking their dog.for a walk.,The dog sees something and pulls hard on the lead.,The person gets dragged along suddenly by the dog.,"","","",1,1,1,1,2,2,2,1,1,4,2,2,2,2,1,1,1,4,2,2,2,1,1,1,4,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,49,Female,3,2,3,3,2022-07-08-14-08,2022-07-08-14-15,7,
s.7c8e65d8-b761-46d3-b7e0-cf443042cfe5.txt,60ef604651e2c760abee8db6,1,"","","",The man is trying but struggling to hold his dog back.~~,He is surprised and questioning how eager his dog is to get to whatever it is trying to move to.,The dog seems very strong as it is pulling him to get to whatever it is interested in.,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,2,4,2,2,1,1,1,4,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,21,female,1,1,1,1,2022-07-08-14-11,2022-07-08-14-20,9,
s.203465e4-3929-4d27-9e80-612814bb3605.txt,627e6f5def772551f0b16747,1,"","","",He is walking the dog.,The dog is straining at the leash and dragging him along.,He is not happy that the dog is pulling him.,1,1,1,2,2,2,2,1,2,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,43,Female,1,1,1,5,2022-07-08-14-11,2022-07-08-14-19,8,
